dataset,measure,shot,method,mean,std,delta_vs_setfit
SentEval-CR,accuracy,64,SetFit-HN-50,90.5,0.9,-0.2
Average,N/A,2,Frozen ST + LR,46.9,5.5,-2.8
Average,N/A,2,SetFit,49.7,6.8,+0.0
Average,N/A,2,SetFit-HN-50,50.1,7.0,+0.4
Average,N/A,4,Frozen ST + LR,51.8,5.3,-6.2
Average,N/A,4,SetFit,58.0,6.3,+0.0
Average,N/A,4,SetFit-HN-50,58.1,6.0,+0.1
Average,N/A,8,Frozen ST + LR,57.6,3.2,-8.3
Average,N/A,8,SetFit,65.9,4.6,+0.0
Average,N/A,8,SetFit-HN-50,66.8,4.8,+0.9
Average,N/A,16,Frozen ST + LR,61.2,2.5,-9.3
Average,N/A,16,SetFit,70.5,2.7,+0.0
Average,N/A,16,SetFit-HN-50,70.8,2.6,+0.3
Average,N/A,64,Frozen ST + LR,66.9,1.2,-10.6
Average,N/A,64,SetFit,77.5,1.1,+0.0
Average,N/A,64,SetFit-HN-50,77.5,1.3,+0.0
